user_id,product_id,rating,timestamp,review_text
U0785,P0270,4,2026-01-18 12:54:58.351474,Love it!
U0059,P0429,3,2025-11-13 12:54:58.351474,Good
U0519,P0078,4,2025-12-26 12:54:58.351474,Love it!
U0198,P0386,5,2025-08-17 12:54:58.351474,Love it!
U0827,P0377,5,2025-12-30 12:54:58.351474,Highly recommend
U0152,P0221,2,2025-05-17 12:54:58.351474,Disappointed
U0235,P0339,4,2025-09-01 12:54:58.351474,Love it!
U0955,P0318,5,2025-10-20 12:54:58.351474,Excellent quality
U0343,P0071,4,2025-07-24 12:54:58.351474,Great product!
U0071,P0276,2,2025-03-31 12:54:58.351474,Disappointed
U0365,P0494,5,2026-01-13 12:54:58.351474,Highly recommend
U0300,P0216,5,2025-11-04 12:54:58.351474,Great product!
U0391,P0266,4,2025-11-18 12:54:58.351474,Great product!
U0400,P0075,5,2025-09-07 12:54:58.351474,Highly recommend
U0591,P0309,5,2025-09-19 12:54:58.352557,Great product!
U0713,P0423,1,2025-02-26 12:54:58.352557,Disappointed
U0224,P0288,5,2025-11-29 12:54:58.352557,Love it!
U0665,P0405,4,2025-09-01 12:54:58.352557,Highly recommend
U0089,P0173,5,2025-09-24 12:54:58.352557,Excellent quality
U0105,P0374,5,2025-02-19 12:54:58.352557,Highly recommend
U0316,P0450,5,2026-02-05 12:54:58.352557,Excellent quality
U0072,P0358,5,2026-01-04 12:54:58.352557,Excellent quality
U0715,P0263,5,2025-03-03 12:54:58.352557,Excellent quality
U0083,P0317,5,2026-02-07 12:54:58.352557,Highly recommend
U0083,P0207,4,2025-04-06 12:54:58.352557,Excellent quality
U0409,P0382,5,2025-04-23 12:54:58.352557,Love it!
U0873,P0013,2,2026-02-02 12:54:58.352557,Poor quality
U0523,P0396,4,2025-06-16 12:54:58.352557,Excellent quality
U0146,P0054,4,2025-08-25 12:54:58.352557,Love it!
U0732,P0118,4,2025-05-02 12:54:58.352557,Highly recommend
U0811,P0081,1,2025-07-18 12:54:58.352557,Disappointed
U0548,P0351,4,2025-12-17 12:54:58.352557,Highly recommend
U0923,P0201,4,2025-11-13 12:54:58.352557,Excellent quality
U0958,P0206,3,2025-03-19 12:54:58.352557,Good
U0861,P0212,5,2026-01-21 12:54:58.352557,Love it!
U0804,P0003,5,2026-01-25 12:54:58.352557,Love it!
U0151,P0049,5,2025-11-10 12:54:58.353558,Great product!
U0419,P0249,5,2025-07-01 12:54:58.353558,Excellent quality
U0334,P0417,5,2025-04-25 12:54:58.353558,Excellent quality
U0754,P0370,3,2025-10-12 12:54:58.353558,Decent
U0642,P0236,4,2026-01-24 12:54:58.353558,Highly recommend
U0736,P0354,5,2025-11-06 12:54:58.353558,Love it!
U0477,P0086,5,2026-01-31 12:54:58.353558,Excellent quality
U0001,P0374,4,2026-01-04 12:54:58.353558,Excellent quality
U0501,P0315,4,2026-01-31 12:54:58.353558,Love it!
U0230,P0472,5,2025-06-28 12:54:58.353558,Excellent quality
U0144,P0378,4,2026-01-17 12:54:58.353558,Excellent quality
U0162,P0228,1,2025-09-03 12:54:58.353558,Not good
U0918,P0302,3,2026-02-04 12:54:58.353558,Average
U0629,P0269,4,2025-11-13 12:54:58.353558,Excellent quality
U0843,P0349,2,2025-10-04 12:54:58.353558,Not recommended
U0775,P0170,5,2025-04-07 12:54:58.353558,Love it!
U0885,P0467,4,2025-10-30 12:54:58.353558,Great product!
U0686,P0484,4,2025-04-15 12:54:58.353558,Great product!
U0631,P0043,4,2025-07-22 12:54:58.353558,Excellent quality
U0619,P0250,2,2025-03-17 12:54:58.353558,Disappointed
U0968,P0292,5,2025-05-05 12:54:58.353558,Great product!
U0118,P0034,4,2025-06-14 12:54:58.353558,Highly recommend
